person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight
2024HU0404475_1,CO,Colorado,West,02005,Female,46,Hispanic or Latino (any race),Spaniard,"Some college, but less than 1 year",OFF-Customer Service Representatives,FIN-Insurance Carriers,Married,Reference person,Females with own children 6 to 17 years only,4,No,108
2024HU0755899_1,MD,Maryland,South,01300,Female,43,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",SAL-Retail Salespersons,RET-Other Miscellaneous Retailers,Divorced,Reference person,Females with own children 6 to 17 years only,3,No,241
2024HU1277668_2,MD,Maryland,South,00504,Female,26,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,Females with no own children,5,No,389
2024HU0787520_1,MS,Mississippi,South,00600,Male,34,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),396
2024HU0153965_1,SD,South Dakota,Midwest,00400,Male,28,Black or African American alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",PRT-Police Officers,"ADM-Justice, Public Order, And Safety Activities",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),199
2024HU0699406_1,NC,North Carolina,South,00900,Male,39,Hispanic or Latino (any race),Honduran,Bachelor's degree,CMM-Software Developers,"FIN-Agencies, Brokerages, And Other Insurance Related Activities",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),88
2024HU1018986_1,WI,Wisconsin,Midwest,02103,Male,27,Black or African American alone,Not Spanish/Hispanic/Latino,Associate's degree,OFF-Couriers And Messengers,TRN-Couriers And Messengers,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),1651
2024HU1428729_1,DC,District of Columbia,South,00106,Male,67,Hispanic or Latino (any race),Salvadoran,Grade 5,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),260
2024HU0603469_2,FL,Florida,South,03103,Female,80,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),45
2024HU1429764_1,MD,Maryland,South,00602,Male,69,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Education And Childcare Administrators,EDU-Elementary And Secondary Schools,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),47
2024HU1276754_1,MS,Mississippi,South,00700,Male,63,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),77
2024HU0783121_1,NC,North Carolina,South,01206,Female,57,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree","SAL-Sales Representatives, Wholesale And Manufacturing",WHL-Wholesale Trade Agents And Brokers,Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),185
2024HU1014745_1,TX,Texas,South,06603,Male,74,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",CLN-Landscaping And Groundskeeping Workers,PRF-Landscaping Services,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),120
2024HU0418929_2,NC,North Carolina,South,03400,Male,22,Hispanic or Latino (any race),Mexican,Bachelor's degree,FIN-Accountants And Auditors,"PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Never married or under 15 years old,Brother or sister,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),75
2024HU0584266_1,NJ,New Jersey,Northeast,00502,Male,67,Hispanic or Latino (any race),Peruvian,12th grade - no diploma,TRN-Driver/Sales Workers And Truck Drivers,WHL-Grocery And Related Product Merchant Wholesalers,Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),97
