tick,n,dominant_stance,dominant_share,distinct,entropy,pairwise_dispersion,cluster_count,n_utterances
0,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.68,4,0.555386602263365,0.32732088447507346,64,100
1,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.77,3,0.45324802972027173,0.3425392991099122,79,100
2,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.82,4,0.41231497832330916,0.32772291135494436,78,100
3,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.9,3,0.25794757647410466,0.3215990556263843,77,100
4,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.9,4,0.2805942015390087,0.3248134259957325,80,100
