arm,tick,dominant_share,entropy
baseline,0,0.6578947368421053,0.4634095319822885
baseline,1,0.7692307692307693,0.38967491864604253
baseline,2,0.8974358974358975,0.23853565310966485
baseline,3,0.975,0.08433046574833512
baseline,4,1.0,0.0
conviction,0,0.7,0.44064544961534635
conviction,1,0.825,0.3862792856542324
conviction,2,0.875,0.31690272753025833
conviction,3,0.825,0.3862792856542324
conviction,4,0.975,0.08433046574833512
