tick,stance,count
0,NOPREF,1
0,STD,66
0,SWITCH,31
0,DST,2
1,STD,79
1,SWITCH,17
1,DST,4
2,NOPREF,2
2,STD,85
2,SWITCH,11
2,DST,2
3,STD,88
3,SWITCH,12
4,STD,92
4,SWITCH,8
