tick,n,dominant_stance,dominant_share,distinct,entropy,pairwise_dispersion,cluster_count,n_utterances
0,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.66,4,0.549377607389107,0.3259799099840837,52,100
1,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.79,3,0.4445003578511278,0.32567151624983215,86,100
2,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.85,4,0.38766820800378776,0.31990843268047087,83,100
3,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.88,2,0.2646804326436822,0.3202828503437008,83,100
4,100,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",0.92,2,0.20108959510113644,0.3222061662087452,83,100
